msno,song_id,source_system_tab,source_screen_name,source_type,target,song_length,genre_ids,artist_name,composer,lyricist,language,city,bd,gender,registered_via,expiration_date,membership_days,registration_year,registration_month,registration_date,expiration_year,expiration_month,song_year,lyricists_count,composer_count,is_featured,artist_count,artist_composer,artist_composer_lyricist,song_lang_boolean,smaller_song,count_song_played,count_artist_played
fOBl3Y85en1YGX0FyxiMcMVfWfDis/56vftSSa/WyPI=,7QkR0/mb+2Gyf8Cbz/wl3cfniJok6XDxUfm6qZeIXmg=,my library,Local playlist more,local-library,0,290807,864|850|857|2122|843,Riyoko feat. Silent Jazz Case (リヨコ フィーチャリング サイレントジャズケース),no_composer,no_lyricist,-1.0,4,25,male,9,13,2589,2010,9,11,2017,10,0.0,0,0,1,1,0,0,0,0,20,224
AHE7eoJrG3aFE6e8kjv2KGEt5FdX7E+5QO93V26dOGY=,IKMFuL0f5Y8c63Hg9BXkeNJjE0z8yf3gMt/tOxF4QNE=,discover,Discover Feature,online-playlist,0,244976,1609,The Chainsmokers,Andrew Taggart| Shaun Frank| Frederic Kennett| Ashley Frangipane| Isaac Slade| Joseph King,Andrew Taggart| Shaun Frank| Frederic Kennett| Ashley Frangipane| Isaac Slade| Joseph King,52.0,1,0,nan,4,2,3,2016,12,30,2017,1,2016.0,6,6,0,0,0,0,0,1,9844,44215
jCfbOgwHFC5qy58FaOBTJf76ddukN9cubIqSJhhML6A=,+0/sXxDmV1SyaPkif5hTCJtnpqgmRFHGxeZiYz3IsHA=,my library,Local playlist more,local-playlist,1,250984,726,快樂寶寶古典樂,no_composer,no_lyricist,-1.0,1,0,nan,7,1,486,2016,6,2,2017,10,0.0,0,0,0,0,0,0,0,0,5,198
uxxwWYyRv6uOOP6tKRj6J2z1Dg+ETd1CNr3dX/+sMTo=,e+kUAz+KkdCM44jj/6JBS3ZClPy/vJcxwTSqth2PSmM=,my library,Album more,album,0,202213,465,WINNER,남태현 (NAM TAE HYUN)  |  AiRPLAY,남태현 (NAM TAE HYUN) |  송민호 (SONG MIN HO),31.0,1,0,nan,7,25,1609,2013,4,30,2017,9,2014.0,2,2,0,0,0,0,0,1,62,1795
NeYMMLV87VzYR94NvVA5W0AVquV8+orPTuK1N4aplSg=,UKnTZCflZ160HmSG3lU1D+1NX71tESJWkAvc290nhgk=,discover,Online playlist more,online-playlist,0,257277,921,Various Artists,Justin Hurwitz,no_lyricist,52.0,14,35,male,3,9,597,2016,1,21,2017,9,2016.0,0,1,0,0,0,0,0,0,696,303616
dopHgoJn+2JBt+ZEteRonSUL15/jSpqOQqyGKbLKl/Q=,NucOoEt8jzO/XS9B/B6aM/WC31lzSCAIip5VpdCBt+c=,my library,Local playlist more,local-library,0,233848,465,黑Girl (hei Girl),徐婕兒,徐婕兒/王雅君,3.0,12,24,female,7,21,2073,2012,1,18,2017,9,2006.0,2,1,0,0,0,0,0,1,389,1214
HjHmWMnFnpfqBryvyvuZZG+JoytOe6p5v9pHURoWC10=,0CzowusgsNWTBlZvCHzE/EQNt9tEjMesIojOueWstEs=,radio,Radio,radio,0,292416,nan,《小時代》電影音樂 Tiny Times OST,梁永泰、王知音,梁永泰,52.0,22,31,male,3,12,1635,2013,3,22,2017,9,2013.0,1,1,0,0,0,0,0,0,27,371
uB2Avnh7BmO75CS48f9oh2Olg5RKOSy+BxumNmzzM4k=,oDG5WCyUlb9i/Sr34Fljeh0YsONZKxl+7jjUw27vm5U=,discover,Online playlist more,song-based-playlist,0,267598,465,田馥甄 (Hebe),張簡君偉,徐世珍/吳輝福,3.0,6,24,male,3,9,595,2016,2,22,2017,10,2013.0,2,1,0,0,0,0,0,0,3347,104946
7l7EIiyC92QhG8hE/rWXJin6ICYRL2/hnqzAHcVBGz8=,7apBsa2wWRfd+4K0dpxcZ4jxJ0d3YjG/7GtlI91x0EI=,discover,Online playlist more,online-playlist,0,141363,921,Various Artists,Opetaia Foa'i| Lin-Manuel Miranda,no_lyricist,52.0,15,26,male,9,17,3867,2007,3,17,2017,10,2016.0,0,2,0,0,0,0,0,1,97,303616
UROPCWPBi4fkbf7B+U4/kD/RDTRw1YzcXb4mPlNoZKM=,zHqZ07gn+YvF36FWzv9+y8KiCMhYhdAUS+vSIKY3UZY=,my library,Local playlist more,local-playlist,1,189361,1616|1609,Alan Walker,Alan Walker| Jesper Borgen| Anders Froen| Gunnar Greve| Tommy La Verdi| Magnus Bertelsen| Iselin Solheim,Alan Walker| Jesper Borgen| Anders Froen| Gunnar Greve| Tommy La Verdi| Magnus Bertelsen| Iselin Solheim,52.0,13,18,male,9,27,2050,2011,9,16,2017,4,2016.0,7,7,0,0,0,0,0,1,7522,36781
